BirdtreeFormat,Family,Final.polygyny,Final.EPP,O.C,Syllable.rep.min,Syllable.rep.final,Syllable.rep.max,Syll.song.min,Syll.song.final,Syll.song.max,Song.rep.min,Song.rep.final,Song.rep.max,Duration.min,Duration.final,Duration.max,Interval.min,Interval.final,Interval.max,Continuity,Song.rate
Acrocephalus_arundinaceus,Acrocephalidae,1,1,1,15,30,35,5,5,5,100,500,1000,3.2,7.35,11.5,1.5,1.75,2,0.807692308,6.593406593
Acrocephalus_palustris,Acrocephalidae,1,1,0,90,241,411,90,90,90,100,100,100,5,5,5,NA,NA,NA,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,1,1,1,45,55,68,7.7,7.7,7.7,100,100,100,19.5,19.5,19.5,1.31,1.31,1.31,0.937049495,2.883229217
Acrocephalus_stentoreus,Acrocephalidae,0,NA,1,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,1,18.5,18.5,18.5,3,3,3,4,5,6,1.25,1.25,1.25,14,14,14,0.081967213,3.93442623
Anthus_trivialis,Motacillidae,0,NA,0,11,11,11,6,6,6,NA,NA,NA,8,8,8,NA,NA,NA,NA,NA
Cacicus_cela,Icteridae,1,NA,0,26,26,26,NA,NA,NA,6,53,100,NA,NA,NA,NA,NA,NA,NA,NA
Cardinalis_cardinalis,Cardinalidae,0,1,0,14,14,14,1,1.75,2.5,9,13.835,18.67,1.8,1.8,1.8,6.9,6.9,6.9,0.206896552,6.896551724
Carduelis_chloris,Fringillidae,0,NA,1,32.5,32.5,32.5,3,3,3,22,511,1000,NA,NA,NA,NA,NA,NA,NA,NA
Carpodacus_cassinii,Fringillidae,0,NA,0,27,27,27,NA,NA,NA,86,86,86,NA,NA,NA,NA,NA,NA,NA,NA
Carpodacus_erythrinus,Fringillidae,0,1,0,5.5,5.5,5.5,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Certhia_familiaris,Certhiidae,0,NA,0,5,5,5,5,5,5,1,1,1,1.2,2.1,3,NA,NA,NA,NA,NA
Dendroica_pensylvanica,Parulidae,NA,1,1,5.4,10.75,16.1,3.5,3.5,3.5,5,5,5,1.3,1.3,1.3,7.1,7.1,7.1,0.154761905,7.142857143
Dendroica_petechia,Parulidae,0,1,0,8.3,8.3,8.3,3.7,3.7,3.7,4,12,13,1.3,1.3,1.3,7.1,7.1,7.1,0.154761905,7.142857143
Dumetella_carolinensis,Mimidae,0,NA,1,328,328,328,100,500,1000,100,500,1000,0.27,0.27,0.27,0.19,0.19,0.19,0.586956522,130.4347826
Emberiza_citrinella,Emberizidae,0,1,0,4.1,4.5,5,3,3,3,2.05,2.24,2.5,2.1,2.1,2.1,7.01,7.01,7.01,0.230515917,6.586169045
Emberiza_hortulana,Emberizidae,0,NA,0,4.2,4.2,4.2,2,2.5,3,2.5,3,3.1,1.56,1.56,1.56,8.79,8.79,8.79,0.150724638,5.797101449
Emberiza_schoeniclus,Emberizidae,0,1,0,6.3,18.15,30,3,3,3,15,17.5,20,1.98,1.98,1.98,4.02,4.02,4.02,0.33,10
Ficedula_albicollis,Muscicapidae,1,1,1,26.9,31.4,42.2,6.95,7.675,8.4,100,500,1000,2.95,2.95,2.95,18.88,18.88,18.88,0.135135135,2.748511223
Ficedula_hypoleuca,Muscicapidae,1,1,1,27,28.4,29.8,4.66,6.83,9,100,100,100,2,2,2,6.11,6.11,6.11,0.246609125,7.398273736
Fringilla_coelebs,Fringillidae,0,1,0,17.8,17.9,18,5,5,5,2.5,2.75,3,2.1,2.1,2.1,8.09,8.09,8.09,0.206084396,5.888125613
Geothlypis_trichas,Parulidae,0,1,0,5,5,5,4.9,4.9,4.9,1,1,1,1.9,1.9,1.9,5.6,5.6,5.6,0.253333333,8
Hirundo_rustica,Hirundinidae,0,1,1,20,20.1,20.2,12,16.9,19.8,12,56,100,4.01,5.005,6,0.05,3.025,6,0.623287671,7.471980075
Hylocichla_mustelina,Turdidae,0,1,0,16,16,16,4,4,4,18,18,18,1.56,1.56,1.56,3.04,3.04,3.04,0.339130435,13.04347826
Junco_hyemalis,Emberizidae,0,1,0,1.2,1.5,2.4,1,1,1,5,5,5,1.4,1.4,1.4,4.5,4.5,4.5,0.237288136,10.16949153
Lamprotornis_superbus,Sturnidae,0,1,1,39,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Locustella_naevia,Locustellidae,0,NA,0,1,1.25,1.5,1,1,1,1,1,1,51,51,51,1.5,1.5,1.5,0.971428571,1.142857143
Lonchura_striata,Estrildidae,NA,NA,0,11,11,11,11,11,11,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Luscinia_megarhynchos,Muscicapidae,1,NA,1,1160,1160,1160,7.5,7.5,7.5,220,220,220,3.12,3.12,3.12,3.78,3.78,3.78,0.452173913,8.695652174
Melospiza_georgiana,Passerellidae,1,1,0,3,3,3,3.5,3.5,3.5,3,3.25,3.5,2,2,2,NA,NA,NA,NA,NA
Melospiza_lincolnii,Passerellidae,0,NA,1,20.4,20.4,20.4,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Melospiza_melodia,Passerellidae,0,1,0,38,38,38,5,5,5,9,12,15,2.62,2.62,2.62,6.07,7.625,9.18,0.255734505,5.856515373
Miliaria_calandra,Emberizidae,1,1,0,9,9,9,20,20,20,2,2.25,2.5,1.6,1.6,1.6,10.89,10.89,10.89,0.128102482,4.803843074
Mimus_gilvus,Mimidae,0,NA,1,100,100,100,2.96,2.96,2.96,100,500,1000,NA,NA,NA,NA,NA,NA,NA,NA
Mimus_polyglottos,Mimidae,0,1,1,155,185.5,216,20,510,1000,190,595,1000,3.06,3.06,3.06,1.1,1.1,1.1,0.735576923,14.42307692
Molothrus_ater,Icteridae,NA,1,0,15,15,15,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Padda_oryzivora,Estrildidae,NA,NA,0,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parus_atricapillus,Paridae,0,1,0,2,2,2,1,2,25,1,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA
Parus_caeruleus,Paridae,1,1,0,3.4,6.5,9.6,2,2.44,2.88,3,4,5,2.4,2.4,2.4,4.6,4.6,4.6,0.342857143,8.571428571
Parus_major,Paridae,0,1,0,3.4,7.9,10,2,2.2,2.4,3,3.75,4.5,3,3,3,NA,NA,NA,NA,NA
Passer_domesticus,Passeridae,0,1,0,6,6,6,1,1,1,1,1,1,0.17,0.17,0.17,NA,NA,NA,NA,NA
Passerella_iliaca,Emberizidae,NA,NA,0,19.87,19.87,19.87,7,7,7,1,3,3.2,2.2,2.2,2.2,NA,NA,NA,NA,NA
Passerina_cyanea,Cardinalidae,0,1,0,8,8,8,5.63,7.315,9,1,1,1,2.2,2.35,2.5,8.59,8.6,8.61,0.214611872,5.479452055
Phoenicurus_ochruros,Muscicapidae,NA,NA,0,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phylloscopus_collybita,Phylloscopidae,1,NA,0,2,2,2,2,2,2,1,1,1,4,4,4,2.7,2.7,2.7,0.597014925,8.955223881
Phylloscopus_fuscatus,Phylloscopidae,1,1,1,18.6,25.3,27,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phylloscopus_trochilus,Phylloscopidae,0,1,1,29.7,35.1,80,9,9,9,31,31,31,3.31,3.31,3.31,7.28,7.28,7.28,0.312559018,5.66572238
Pipilo_erythrophthalmus,Emberizidae,0,NA,0,15,15,15,1,1,1,6,6.5,7,0.83,0.83,0.83,4.39,4.39,4.39,0.159003831,11.49425287
Prunella_modularis,Prunelidae,NA,1,1,48,48,48,12,12,12,4,4,4,3,3,3,NA,NA,NA,NA,NA
Serinus_canaria,Fringillidae,0,0,1,25,69.85,81,10,205,400,100,300,316.2,NA,NA,NA,NA,NA,NA,NA,NA
Serinus_serinus,Fringillidae,0,1,1,54,58.75,63.5,54,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setophaga_ruticilla,Parulidae,0,1,1,4,4,4,1.6,1.6,1.6,4,4,4,0.9,0.9,0.9,5.3,5.3,5.3,0.14516129,9.677419355
Spizella_passerina,Emberizidae,0,NA,0,1,1,1,1,1,1,1,1,1,2.61,2.61,2.61,6.79,6.79,6.79,0.277659574,6.382978723
Spizella_pusilla,Emberizidae,0,1,0,2,2,2,2,2,2,1,1,1,3,3,3,NA,NA,NA,NA,NA
Sturnella_neglecta,Icteridae,1,NA,1,86,86,86,8,8,8,8,8,8,1.5,1.75,2,8,8,8,0.179487179,6.153846154
Sturnus_vulgaris,Sturnidae,1,1,1,39.9,41.95,44,4.2,9.6,15,35,40.13,49,24.77,24.77,24.77,5,5,5,0.832045684,2.015451797
Sylvia_communis,Sylviidae,1,NA,1,119,367.5,616,15,15,15,3,3,3,2.5,4.125,5.75,5,5,5,0.452054795,6.575342466
Taeniopygia_guttata,Estrildidae,0,0,0,8,8,8,6.8,7.4,8,1,1,1,0.9,0.9,0.9,NA,NA,NA,NA,NA
Toxostoma_rufum,Mimidae,0,NA,1,2400,2400,2400,4.875,502.44,1000,1100,1452.5,1805,0.6255,0.6255,0.6255,0.7965,0.7965,0.7965,0.439873418,42.19409283
Turdus_grayi,Turdidae,NA,1,1,14.5,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turdus_merula,Turdidae,0,1,1,108,108,108,6,13,20,32,34,1000,2.4,2.4,2.4,1.6,1.6,1.6,0.6,15
Zonotrichia_albicollis,Emberizidae,0,1,0,5,5,5,4,4,4,1,1,1,2.87,2.87,2.87,5.83,5.83,5.83,0.329885057,6.896551724
Zonotrichia_leucophrys,Emberizidae,0,1,0,4,4,4,4,4,4,1,1,1,1.9,1.9,1.9,11,11,11,0.147286822,4.651162791
Zosterops_lateralis,Zosteropidae,NA,0,1,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
