"","BirdtreeFormat","Family","Final.polygyny","Final.EPP","Syllable.rep.min","Syllable.rep.final","Syllable.rep.max","Syll.song.min","Syll.song.final","Syll.song.max","Song.rep.min","Song.rep.final","Song.rep.max","Duration.min","Duration.final","Duration.max","Interval.min","Interval.final","Interval.max","Song.rate.min","Song.rate","Song.rate.max","Continuity"
"2","Acrocephalus_palustris","Acrocephalidae",1,0,90,241,411,90,90,90,100,100,100,5,5,5,0.01,0.25,0.8,"11.9760479",11.42857143,"10.34482759",0.952380952
"4","Toxostoma_rufum","Mimidae",0,NA,2400,2400,2400,100,500,1000,1000,1450,2000,0.6255,0.6255,0.6255,0.7965,0.7965,0.7965,"42.19409283",42.19409283,"42.19409283",0.439873418
"11","Turdus_merula","Turdidae",0,1,108,108,108,6,13,20,32,34,500,2.4,2.4,2.4,1.6,2.55,3.5,"15",12.12121212,"10.16949153",0.484848485
"15","Hylocichla_mustelina","Turdidae",0,1,16,16,16,4,4,4,18,18,18,1.56,1.56,1.56,3,3.02,3.04,"13.15789474",13.10043668,"13.04347826",0.340611354
"23","Sturnus_vulgaris","Sturnidae",1,0,39.9,41.95,44,4.2,9.6,15,35,40.13,49,24.77,24.77,24.77,5,5,5,"2.015451797",2.015451797,"2.015451797",0.832045684
"24","Sylvia_communis","Sylviidae",1,NA,119,367.5,616,15,15,15,3,3,3,2.5,4.125,5.75,5,5,5,"8",6.575342466,"5.581395349",0.452054795
"26","Setophaga_ruticilla","Parulidae",0,1,4,4,4,1.6,1.6,1.6,4,4,4,0.9,0.91,0.92,5.26,5.28,5.3,"9.74025974",9.693053312,"9.646302251",0.147011309
"27","Geothlypis_trichas","Parulidae",0,1,5,5,5,4.9,4.9,4.9,1,1,1,1.86,1.88,1.9,5.56,5.58,5.6,"8.086253369",8.042895442,"8",0.252010724
"36","Dendroica_pensylvanica","Parulidae",NA,1,5.4,10.75,16.1,3.5,3.5,3.5,5,5,5,1.27,1.285,1.3,7.1,7.12,7.14,"7.168458781",7.138607971,"7.109004739",0.152885187
"37","Dendroica_petechia","Parulidae",0,1,8.3,8.3,8.3,3.7,3.7,3.7,4,12,13,1.26,1.28,1.3,7.1,7.12,7.14,"7.177033493",7.142857143,"7.109004739",0.152380952
"41","Sturnella_neglecta","Icteridae",1,NA,86,86,86,8,8,8,8,8,8,1.5,1.75,2,8,8,8,"6.315789474",6.153846154,"6",0.179487179
"44","Emberiza_hortulana","Emberizidae",0,NA,4.2,4.2,4.2,2,2.5,3,2.5,2.75,3,1.5,1.5,1.5,9,9,9,"5.714285714",5.714285714,"5.714285714",0.142857143
"46","Zonotrichia_albicollis","Passerellidae",0,1,5,5,5,4,4.5,5,1,1,1,2.87,2.87,2.87,5.83,9.165,12.5,"6.896551724",4.985459078,"3.903708523",0.238471126
"51","Zonotrichia_leucophrys","Passerellidae",0,1,4,4,4,4,4,4,1,1,1,1.9,1.9,1.9,11,11,11,"4.651162791",4.651162791,"4.651162791",0.147286822
"53","Agelaius_phoeniceus","Icteridae",1,1,18.5,18.5,18.5,3,3,3,4,5,6,1.25,1.25,1.25,14,14,14,"3.93442623",3.93442623,"3.93442623",0.081967213
"56","Dumetella_carolinensis","Mimidae",0,NA,328,328,328,100,500,1000,500,500,500,0.27,0.27,0.27,0.19,0.19,0.19,"130.4347826",130.4347826,"130.4347826",0.586956522
"60","Mimus_polyglottos","Mimidae",0,0,216,216,216,20,190,500,190,345,500,3.06,3.06,3.06,1.1,1.1,1.1,"14.42307692",14.42307692,"14.42307692",0.735576923
"62","Acrocephalus_schoenobaenus","Acrocephalidae",1,0,45,55,68,5,6.35,7.7,100,100,100,19.5,19.5,19.5,1.31,1.31,1.31,"2.883229217",2.883229217,"2.883229217",0.937049495
"65","Locustella_naevia","Locustellidae",0,NA,1,1.25,1.5,1,1,1,1,1,1,51,51,51,1.5,1.5,1.5,"1.142857143",1.142857143,"1.142857143",0.971428571
"74","Acrocephalus_arundinaceus","Acrocephalidae",1,1,15,22.5,30,5,5,5,100,500,1000,3.2,7.35,11.5,1.5,1.75,2,"12.76595745",6.593406593,"4.444444444",0.807692308
"77","Miliaria_calandra","Emberizidae",1,0,9,9,9,20,20,20,2,2.25,2.5,1.6,1.6,1.6,10.89,10.89,10.89,"4.803843074",4.803843074,"4.803843074",0.128102482
"79","Ficedula_albicollis","Muscicapidae",1,1,26.9,31.4,31.4,6.95,7.675,8.4,100,500,1000,2.95,2.95,2.95,18.88,18.88,18.88,"2.748511223",2.748511223,"2.748511223",0.135135135
"85","Phylloscopus_collybita","Phylloscopidae",1,NA,2,2,2,2,2,2,1,1,1,4,4,4,2.7,2.7,2.7,"8.955223881",8.955223881,"8.955223881",0.597014925
"86","Hirundo_rustica","Hirundinidae",0,1,20,20.1,20.2,12,16.9,19.8,12,56,100,4.01,5.005,6,0.05,3.025,6,"14.77832512",7.471980075,"5",0.623287671
"94","Luscinia_megarhynchos","Muscicapidae",0,NA,1160,1160,1160,7.5,7.5,7.5,220,220,220,3.12,3.12,3.12,3.78,3.78,3.78,"8.695652174",8.695652174,"8.695652174",0.452173913
"95","Emberiza_schoeniclus","Emberizidae",0,1,6.3,18.15,30,3,3,3,15,17.5,20,1.98,1.98,1.98,4.02,4.02,4.02,"10",10,"10",0.33
"97","Pipilo_erythrophthalmus","Passerellidae",0,NA,15,15,15,1,1,1,6,6.5,7,0.83,0.83,0.83,4.39,4.39,4.39,"11.49425287",11.49425287,"11.49425287",0.159003831
"99","Junco_hyemalis","Passerellidae",0,1,1.2,1.8,2.4,1,1.05,1.1,5,5,5,1.4,1.4,1.4,4.5,4.5,4.5,"10.16949153",10.16949153,"10.16949153",0.237288136
"101","Parus_caeruleus","Paridae",1,1,3.4,6.5,9.6,2,2.44,2.88,3,4.5,5.5,2.4,2.4,2.4,4.6,4.6,4.6,"8.571428571",8.571428571,"8.571428571",0.342857143
"111","Ficedula_hypoleuca","Muscicapidae",1,1,27,28.4,29.8,4.66,6.83,9,100,100,100,2,2,2,6.11,6.11,6.11,"7.398273736",7.398273736,"7.398273736",0.246609125
"117","Spizella_passerina","Passerellidae",0,NA,1,1,1,1,1,1,1,1,1,2.61,2.61,2.61,6.79,6.79,6.79,"6.382978723",6.382978723,"6.382978723",0.277659574
